 19.25,  0.59,  0.59,  0.59
 19.30,  0.59,  0.59,  0.59
 19.35,  0.59,  0.59,  0.59
 19.40,  0.59,  0.59,  0.59
 19.45,  0.59,  0.59,  0.59
 19.50,  0.59,  0.59,  0.59
 19.55,  0.59,  0.59,  0.59
 19.60,  0.59,  0.59,  0.59
 19.65,  0.59,  0.59,  0.59
 19.70,  0.59,  0.59,  0.59
 19.75,  0.59,  0.59,  0.59
 19.80,  0.59,  0.59,  0.59
 19.85,  0.59,  0.59,  0.59
 19.90,  0.59,  0.59,  0.59
 19.95,  0.59,  0.59,  0.59
